workload_id	probe_activation_id	probe_output_bytes	measured_submitted	terminal_success	output_verified	store_ack	valid_warm	selected_low_contention	target_warm_samples	warm_target_status	same_worker_concurrent_excluded	unique_measured_workers	unique_measured_containers	ow120_selected	ow150_selected	ow260_selected	ow300_selected	ow300_raw_rows	ow310_selected	ow800_selected	full_flow_mean_ms	full_flow_ci95_low_ms	full_flow_ci95_high_ms	full_flow_p50_ms	workload_mean_ms	completion_rate_per_sec	quality_gate_status	validator_status
dynamic-html-derived-v1	02858db6621f4db9858db6621f7db9ae	5701	300	300	300	300	298	121	100	met	179	2	3	300	300	300	300	596	300	300	387.87624892561985	383.05634163226506	392.69615621897464	383.390047	327.1423395371901	2.2795919558118936	pass	pass
compression-derived-random256k-level6-v1	877a08473096439fba08473096a39f7d	262207	300	300	300	300	300	95	100	below_target_advisory	205	2	3	300	300	300	300	597	300	300	275.9780909473684	268.67949212264966	283.27668977208714	270.9126	168.94538143157894	2.643345223488589	pass	pass
