schema_version	profile	phase	size_bytes	submitted_count	terminal_success_count	full_output_verified_count	activation_get_result_match_count	store_ack_count	shared_event_complete_count	profile_timing_complete_count	openwhisk_event_complete_count	quality_complete_count	warm_eligible_count	warm_ineligible_count	analysis_selected_count	total_latency_mean_ms	total_latency_ci95_low_ms	total_latency_ci95_high_ms	total_latency_p50_ms	total_latency_p95_ms	couchdb_save_mean_ms	profile_input_mean_ms	profile_workload_mean_ms	profile_output_mean_ms	profile_outer_mean_ms	quality_gate_status	quality_gate_reasons	artifact_classification	acceptance_status
e3-v2-asyncs-size-summary-v1	asyncs	measured	1024	100	100	100	100	100	100	100	100	100	99	1	99	40.034920	38.289466	41.780374	37.841166	55.540701	11.969696	2.514539	0.036976	0.237895	4.921635	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	4096	100	100	100	100	100	100	100	100	100	100	0	100	36.933886	34.846180	39.021593	33.926600	52.015265	12.100012	2.636765	0.140042	0.235077	5.201823	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	16384	100	100	100	100	100	100	100	100	100	100	0	100	48.043441	45.527270	50.559612	44.795316	72.587180	11.920005	2.538694	0.557117	0.241759	5.783903	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	65536	100	100	100	100	100	100	100	100	100	100	0	100	92.110632	88.892385	95.328879	88.813130	106.408625	13.480000	2.603504	2.201195	0.259637	9.241269	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	262144	100	100	100	100	100	100	100	100	100	100	0	100	307.856663	299.995404	315.717922	308.022030	383.110823	21.620012	3.194363	9.177766	0.417394	23.188464	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	1048576	100	100	100	100	100	100	100	100	100	100	0	100	946.709116	939.441545	953.976687	946.348042	1011.558569	44.580006	3.068484	35.586637	0.674589	69.268183	pass		complete_valid_candidate	not_reviewed
e3-v2-asyncs-size-summary-v1	asyncs	measured	4194304	100	100	100	100	100	100	100	100	100	100	0	100	3691.958346	3676.707403	3707.209290	3665.178188	3812.574221	138.379988	4.125124	138.958910	2.035769	254.658929	pass		complete_valid_candidate	not_reviewed
