schema_version	profile	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	activation_get_result_match	store_status	warm_eligible	analysis_selected	exclusion_reason	client_start_unix_ns	client_end_unix_ns	activation_get_unix_ns	db_start_unix_ns	db_finish_unix_ns	total_latency_ns	client_to_db_enter_ns	couchdb_save_ns	http_request_bytes	http_response_bytes	activation_get_response_bytes	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	profile_input_duration_ns	profile_workload_duration_ns	profile_output_duration_ns	profile_outer_duration_ns	shared_event_status	profile_timing_status	openwhisk_event_status	quality_complete	profile_event_codes	openwhisk_event_codes	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit
e3-v2-asyncs-attempt-v1	asyncs	measured	65536	2	11	11	1	07b774fa187c43e9b774fa187c93e917	true	true	true	put_acknowledged	true	true		1784861183269399341	1784861183371286520	1784861183396332604	1784861183359000064	1784861183372000000	102600659	89600723	12999936	88634	93746	93853	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	2389422	2154488	265396	8708932	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	262144	2	12	12	1	6c539bec2cc74dcc939bec2cc77dcc6e	true	true	true	put_acknowledged	true	true		1784861183401951898	1784861183692332418	1784861183945381877	1784861183676000000	1784861183711000064	309048166	274048102	35000064	350779	355911	356018	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	2430444	8724378	322150	20359765	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1048576	2	13	13	1	e0e5e725589941c4a5e7255899f1c471	true	true	true	put_acknowledged	true	true		1784861183970161558	1784861185020528418	1784861185128522193	1784861184936000000	1784861184997999872	1027838314	965838442	61999872	1399356	1404505	1404612	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	2710937	34718948	667727	67002708	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	4194304	2	14	14	1	c9d3b2a8f70b4ca893b2a8f70b1ca851	true	true	true	put_acknowledged	true	true		1784861185206938982	1784861189300621661	1784861189623661861	1784861188952000000	1784861189134000128	3927061146	3745061018	182000128	5593660	5598825	5598932	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	3836633	138995173	2035511	252748790	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1024	3	15	15	1	4a06d1150973436586d115097313653c	true	true	true	put_acknowledged	true	true		1784861189689062432	1784861189739601454	1784861189757044767	1784861189723000064	1784861189752000000	62937568	33937632	28999936	2617	7706	7813	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	2399892	34754	217960	4674777	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	4096	3	16	16	1	ce1732959af648119732959af698110e	true	true	true	put_acknowledged	true	true		1784861189765222491	1784861189820914652	1784861189836050225	1784861189808999936	1784861189828000000	62777509	43777445	19000064	6713	11814	11921	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4381136	145662	373134	8256808	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	16384	3	17	17	1	9006a2e62cca4e2986a2e62cca0e29c6	true	true	true	put_acknowledged	true	true		1784861189839422500	1784861189882308862	1784861189901071227	1784861189878000128	1784861189892000000	52577500	38577628	13999872	23098	28202	28309	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	2330959	552109	219800	5375601	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	65536	3	18	18	1	a78fa94e104846528fa94e1048e652fc	true	true	true	put_acknowledged	true	true		1784861189905080979	1784861190006563794	1784861190026485890	1784861189991000064	1784861190005000192	99919213	85919085	14000128	88634	93746	93853	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	2345896	2248753	247883	8748544	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	262144	3	19	19	1	eb31c7e1adf84304b1c7e1adf863046e	true	true	true	put_acknowledged	true	true		1784861190032886136	1784861190351899583	1784861190386094073	1784861190319000064	1784861190340000000	307113864	286113928	20999936	350779	355913	356020	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	2400496	8710845	346218	20302443	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1048576	3	20	20	1	c2f7610f66bc4099b7610f66bc109942	true	true	true	put_acknowledged	true	true		1784861190409065689	1784861191399629341	1784861191468782909	1784861191332000000	1784861191385999872	976934183	922934311	53999872	1399356	1404505	1404612	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	2700329	34760753	649872	66908596	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
