schema_version	profile	artifact_size_bytes	fresh_group	logical_request_id	activation_id	first_result_latency_ms	upload_duration_ms	action_fetch_duration_ms	action_fetch_status	runtime_init_duration_ms	runtime_init_status	kms_key_release_duration_ms	function_key_decap_duration_ms	cfunc_aes_gcm_duration_ms	wasm_load_duration_ms	wasm_instantiate_duration_ms	input_key_decap_duration_ms	input_aes_gcm_duration_ms	workload_core_duration_ms	output_kem_duration_ms	output_aes_gcm_duration_ms	outer_execution_duration_ms	fresh_placement_eligible	phase_evidence_status	gateway_code_queue_wait_duration_ms	gateway_code_service_duration_ms	target_code_decrypt_duration_cycles	target_code_decrypt_status	kms_key_release_status
c2-reusable-phase-breakdown-v1	reusable-concurrency	16777216	12	s16777216-g012-fresh	72ac6d3955fd49a7ac6d3955fdf9a7f4	18885.968098	6287.095549		unavailable_no_direct_event		unavailable_no_direct_event								50.949893			51.401688	true	partial_with_explicit_unavailable	0.011893	67.405259	83799353	direct_event_complete	not_applicable_profile_absent
c2-reusable-phase-breakdown-v1	reusable-concurrency	16777216	13	s16777216-g013-fresh	d299bd211882468e99bd211882568ef5	9211.522417	4372.979321		unavailable_no_direct_event		unavailable_no_direct_event								65.020116			65.480301	true	partial_with_explicit_unavailable	0.009871	61.297523	130410523	direct_event_complete	not_applicable_profile_absent
