schema_version	experiment_id	profile	phase	workload_id	logical_request_id	attempt_id	activation_id	event_code	event_seq	clock_domain	timestamp_value	timestamp_unit	node	process	pid	status
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AI410	2	enclave_tsc_same_invocation	54135322261293	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AI420	3	enclave_tsc_same_invocation	54135322262199	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AI430	4	enclave_tsc_same_invocation	54135322265881	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AF400	5	enclave_tsc_same_invocation	54135343594430	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AF410	6	enclave_tsc_same_invocation	54135994838025	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AO400	7	enclave_tsc_same_invocation	54136164794291	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AO410	8	enclave_tsc_same_invocation	54136165941005	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AO420	9	enclave_tsc_same_invocation	54136165942009	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	AO430	10	enclave_tsc_same_invocation	54136165957233	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	A400	400	monotonic_ns_same_process	20036592298818	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	3	1	9e134ba9c2a94f85934ba9c2a96f855d	A410	410	monotonic_ns_same_process	20036910855948	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	4	1	5d7badd58be04d95bbadd58be08d9537	AI400	1	enclave_tsc_same_invocation	54136955746633	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	compression-derived-random256k-level6-v1	4	1	5d7badd58be04d95bbadd58be08d9537	AI410	2	enclave_tsc_same_invocation	54136967775532	cycles		sgx_worker_enclave		observed
