artifact_size_bytes	fresh_group	action_name	previous_action_revision	action_revision	request_start_unix_ns	fresh_request_end_unix_ns	request_end_unix_ns	baseline_binding_count	post_fresh_binding_count	post_measurement_binding_count	removed_container_identities_json	added_container_identities_json	status
16777216	6	c2-reusable-16m-r377-g006-g007		0.0.1@1785095597414	1785095601357493599	1785095618698590134	1785095619691588361	12	13	13	[]	"[""99605c42324e1ec341a68cad4234c38369cb3558e41300536c421271d9bf297d""]"	request_group_complete_inventory_observed
16777216	7	c2-reusable-16m-r377-g006-g007	0.0.1@1785095597414	0.0.2@1785095621059	1785095624119638227	1785095631374752401	1785095632329652339	13	13	13	"[""419456aeab3e49bb2532b76be9c20d26903b5084757d2a803750fd4839fa4e60""]"	"[""538e2b82c11fca05144e9beab76cb0945b345040627807f932c70f61fd94da56""]"	request_group_complete_inventory_observed
