schema_version	profile	phase	size_bytes	attempted_count	terminal_success_count	failed_count	not_submitted_count	warm_eligible_count	analysis_selected_count	total_latency_mean_ms	total_latency_ci95_low_ms	total_latency_ci95_high_ms	total_latency_p50_ms	total_latency_p95_ms	profile_outer_mean_ms	profile_output_mean_ms	guest_body_mean_cycles	artifact_classification	acceptance_status
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	1024	100	100	0	0	99	99	63.216778	48.890208	77.543347	49.751003	95.726373	0.106551	0.555688	130694.727	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	4096	100	100	0	0	100	100	45.385758	42.687427	48.084089	42.378638	72.349891	0.256460	0.544083	433649.560	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	16384	100	100	0	0	100	100	52.184321	48.791524	55.577117	49.751374	83.667276	0.850933	0.526883	1666276.760	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	65536	100	100	0	0	100	100	84.804095	78.830130	90.778059	78.012697	129.272238	3.741369	0.696895	7130388.240	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	262144	100	100	0	0	100	100	234.048323	223.236197	244.860449	231.663853	336.888282	16.031425	1.612609	32942520.720	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	1048576	100	100	0	0	100	100	550.825586	539.682283	561.968889	542.394735	626.111194	52.817716	3.626478	107359786.930	owner_candidate_formal_e3_v2_complete	not_reviewed
e3-v2-reusable-size-summary-v1	reusable-concurrency	measured	4194304	100	100	0	0	100	100	2066.067864	2047.890031	2084.245696	2054.754471	2188.399686	203.584482	12.074857	420893418.540	owner_candidate_formal_e3_v2_complete	not_reviewed
