schema_version	experiment_id	profile	phase	workload_id	logical_request_id	attempt_id	activation_id	event_code	event_seq	clock_domain	timestamp_value	timestamp_unit	node	process	pid	status
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AI420	3	enclave_tsc_same_invocation	53456704469126	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AI430	4	enclave_tsc_same_invocation	53456704471961	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AF400	5	enclave_tsc_same_invocation	53456716144071	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AF410	6	enclave_tsc_same_invocation	53457594530527	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AO400	7	enclave_tsc_same_invocation	53457596581908	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AO410	8	enclave_tsc_same_invocation	53457597185740	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AO420	9	enclave_tsc_same_invocation	53457597186510	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	AO430	10	enclave_tsc_same_invocation	53457597195048	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	A400	400	monotonic_ns_same_process	19786086596532	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	3	1	b91dcf16428042dc9dcf16428042dc74	A410	410	monotonic_ns_same_process	19786420944750	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AI400	1	enclave_tsc_same_invocation	53458770062519	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AI410	2	enclave_tsc_same_invocation	53458776567858	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AI420	3	enclave_tsc_same_invocation	53458776568515	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AI430	4	enclave_tsc_same_invocation	53458776571146	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AF400	5	enclave_tsc_same_invocation	53458788734917	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AF410	6	enclave_tsc_same_invocation	53459664353773	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AO400	7	enclave_tsc_same_invocation	53459666295524	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AO410	8	enclave_tsc_same_invocation	53459666899472	cycles		sgx_worker_enclave		observed
