profile	phase	artifact_size_bytes	fresh_group	lifecycle	logical_request_id	request_rid	action_revision	measurement_sequence	activation_attempt	activation_id	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	blocking_http_status	activation_get_http_status	platform_duration_ms	platform_start_ms	platform_end_ms	terminal_success	outcome	retry_disposition	measurement_role	failure_summary
reusable-concurrency	revision_rotation_fresh	16777216	10	fresh_first_use	s16777216-g010-fresh	25a1b247fc7d4c4d7b09da70af7d2bdda4c4ec7594190712c8147ff12b1f0675	0.0.1@1785106816794	1	1	dabba688b2b4437ebba688b2b4937e06	1785106821854393907	1785106831502383127	9647.989091	500	200	0	1785106831208	1785106831208	false	queue_endpoint_prediction_race	retry_once	excluded_prediction_race	The activation has not been processed: failed to get the queue endpoint.
reusable-concurrency	revision_rotation_fresh	16777216	10	fresh_first_use	s16777216-g010-fresh	25a1b247fc7d4c4d7b09da70af7d2bdda4c4ec7594190712c8147ff12b1f0675	0.0.1@1785106816794	1	2	26599920922144ac999920922124ac2b	1785106831622815247	1785106840164878120	8542.063283	200	200	999	1785106839086	1785106840085	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	10	warm_followup	s16777216-g010-warm1	1f6d4f8565bdfc55b53ea430d7523365bfd48b67502357e419b6282753b01c13	0.0.1@1785106816794	2	1	ee95e1984c584d4a95e1984c58dd4abe	1785106840236184222	1785106840374832238	138.648041	200	200	75	1785106840288	1785106840363	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	10	warm_followup	s16777216-g010-warm2	3788e313701aace6f74a6a7a70a440099b785195f14d88b28069ea96f3fa99b1	0.0.1@1785106816794	3	1	13875b26b8c045ee875b26b8c015eefa	1785106840421651297	1785106840633003294	211.352299	200	200	113	1785106840489	1785106840602	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	10	warm_followup	s16777216-g010-warm3	03536b48990d263c56b3a8eca42445e467ee584cadd9918a114ceab959d2bbba	0.0.1@1785106816794	4	1	b6436c1a20f44e00836c1a20f4ae0084	1785106840658206966	1785106840838339738	180.132918	200	200	87	1785106840732	1785106840819	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	10	warm_followup	s16777216-g010-warm4	4ffaeb5b6f07fe0a0f3000573d3c65584b1db8dfe8fc7827b1745d46776872ec	0.0.1@1785106816794	5	1	d18ae1a22ee949738ae1a22ee9a97322	1785106840872871127	1785106841010650381	137.779335	200	200	96	1785106840902	1785106840998	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	10	warm_followup	s16777216-g010-warm5	12cc351481c540aa69c8246e9f0fd75e21e07013759a41fa17fd9fdcd87a518a	0.0.1@1785106816794	6	1	c9c6aad45ab9471186aad45ab997112e	1785106841038907670	1785106841201360102	162.452615	200	200	78	1785106841070	1785106841148	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_fresh	16777216	11	fresh_first_use	s16777216-g011-fresh	4af267338b6a6d3c43cb38dbed1ae869ac485065e372711cff90bc89fc51ea89	0.0.2@1785106842531	7	1	343235032c914949b235032c91794954	1785106845705297433	1785106853361094424	7655.797109	200	200	996	1785106852275	1785106853271	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	11	warm_followup	s16777216-g011-warm1	1cdaf3b9f9672a354332fe38cdf334a6d7d23aeb63b466cb87f146984f950dac	0.0.2@1785106842531	8	1	49d76a939619468e976a939619968e9e	1785106853672979334	1785106853834192199	161.212764	200	200	82	1785106853712	1785106853794	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	11	warm_followup	s16777216-g011-warm2	bef2f59dfe111afb41eb9c64aa2fb7934f8384776c295ba3ad546919c292292c	0.0.2@1785106842531	9	1	5ac7c420bdc34f2287c420bdc30f2284	1785106853854483610	1785106854013839839	159.356020	200	200	115	1785106853889	1785106854004	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	11	warm_followup	s16777216-g011-warm3	5603f3dd2c7dc569e1e142e5fe0474d53c319336f15e095150e6f4fcaaac3021	0.0.2@1785106842531	10	1	2757f8414277431e97f8414277731e0b	1785106854046239287	1785106854187831621	141.592382	200	200	93	1785106854083	1785106854176	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	11	warm_followup	s16777216-g011-warm4	8b9559e0c87865327b6d0a592452dc9f1f6833b29a071b82921fe0c97862cca6	0.0.2@1785106842531	11	1	c5338f82ab3c4bd8b38f82ab3c3bd85e	1785106854229896848	1785106854379915129	150.018245	200	200	91	1785106854262	1785106854353	true	execution_path_accepted	not_applicable	measured_logical_request	
reusable-concurrency	revision_rotation_warm	16777216	11	warm_followup	s16777216-g011-warm5	110bbd5f9cadbfafc9320da7daeb4a346aa48f72c5cf86300967be36cb543ec9	0.0.2@1785106842531	12	1	a008a75c39a24a2288a75c39a23a222f	1785106854395684170	1785106854550643848	154.960159	200	200	97	1785106854426	1785106854523	true	execution_path_accepted	not_applicable	measured_logical_request	
