experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id
C5	compression-derived-random256k-level6-v1-measured	measured	1	1	00b56351c13b4413b56351c13b641374
C5	compression-derived-random256k-level6-v1-measured	measured	2	1	128495dfa5104ec38495dfa5102ec3f1
C5	compression-derived-random256k-level6-v1-measured	measured	3	1	429ff448923c476b9ff448923c076b7b
C5	compression-derived-random256k-level6-v1-measured	measured	4	1	87a0fc4aa4924b64a0fc4aa4924b6483
C5	compression-derived-random256k-level6-v1-measured	measured	5	1	3eeef8ff3b0f4d15aef8ff3b0fdd15c1
C5	compression-derived-random256k-level6-v1-measured	measured	6	1	f1276fba28744a0ea76fba2874ca0ed3
C5	compression-derived-random256k-level6-v1-measured	measured	7	1	fd9a9f235e4b40f39a9f235e4bb0f3dc
C5	compression-derived-random256k-level6-v1-measured	measured	8	1	6289d6d452894dc389d6d45289cdc34f
C5	compression-derived-random256k-level6-v1-measured	measured	9	1	bcaff5693afe4c84aff5693afe9c8440
C5	compression-derived-random256k-level6-v1-measured	measured	10	1	7fab9a399a37448cab9a399a37c48ca6
C5	compression-derived-random256k-level6-v1-measured	measured	11	1	4375e50651804bfdb5e50651808bfd7d
C5	compression-derived-random256k-level6-v1-measured	measured	12	1	4f2ef64666854bebaef6466685dbebae
C5	compression-derived-random256k-level6-v1-measured	measured	13	1	8c727337a3c044cab27337a3c024ca0a
C5	compression-derived-random256k-level6-v1-measured	measured	14	1	2d74d8635e34457bb4d8635e34b57bae
C5	compression-derived-random256k-level6-v1-measured	measured	15	1	d2071cea646b434a871cea646b434a6c
C5	compression-derived-random256k-level6-v1-measured	measured	16	1	9c3db280b3e040c4bdb280b3e080c4f2
C5	compression-derived-random256k-level6-v1-measured	measured	17	1	1860a91a56f149faa0a91a56f1a9faf2
C5	compression-derived-random256k-level6-v1-measured	measured	18	1	fbbcce72397b439fbcce72397b739f2d
C5	compression-derived-random256k-level6-v1-measured	measured	19	1	20ecb9968aff4b9eacb9968aff2b9ef6
C5	compression-derived-random256k-level6-v1-measured	measured	20	1	81046d34ecb8474d846d34ecb8b74d42
C5	compression-derived-random256k-level6-v1-measured	measured	21	1	dced5e88d4084129ad5e88d408c12933
C5	compression-derived-random256k-level6-v1-measured	measured	22	1	afb32a075cd94dfbb32a075cd9fdfbd8
C5	compression-derived-random256k-level6-v1-measured	measured	23	1	6de38fdad5654431a38fdad565343105
C5	compression-derived-random256k-level6-v1-measured	measured	24	1	11adbe858bce4c3badbe858bceec3b1f
C5	compression-derived-random256k-level6-v1-measured	measured	25	1	385444e504524ef99444e504529ef953
C5	compression-derived-random256k-level6-v1-measured	measured	26	1	88cf9df68ecc47118f9df68ecc771188
C5	compression-derived-random256k-level6-v1-measured	measured	27	1	bf715b9eb5f24fedb15b9eb5f28fed75
C5	compression-derived-random256k-level6-v1-measured	measured	28	1	3fc1392c55d8413681392c55d8c13668
C5	compression-derived-random256k-level6-v1-measured	measured	29	1	f2f4f7c5cc9f4f1db4f7c5cc9f5f1d70
C5	compression-derived-random256k-level6-v1-measured	measured	30	1	062b7d5611ff46a2ab7d5611ff66a281
C5	compression-derived-random256k-level6-v1-measured	measured	31	1	e3f2adf228604584b2adf22860858420
C5	compression-derived-random256k-level6-v1-measured	measured	32	1	97cadb29698147858adb2969817785b5
C5	compression-derived-random256k-level6-v1-measured	measured	33	1	fc8654eba86d45ab8654eba86d85ab16
C5	compression-derived-random256k-level6-v1-measured	measured	34	1	9ef310f335194b46b310f335199b462a
C5	compression-derived-random256k-level6-v1-measured	measured	35	1	80536ea316824df7936ea31682edf796
C5	compression-derived-random256k-level6-v1-measured	measured	36	1	f25fc7ff6e1640d69fc7ff6e1640d6c3
C5	compression-derived-random256k-level6-v1-measured	measured	37	1	103fc306b0e34b98bfc306b0e30b985c
C5	compression-derived-random256k-level6-v1-measured	measured	38	1	6591a26476924fa891a26476921fa853
C5	compression-derived-random256k-level6-v1-measured	measured	39	1	71cfb3aacec84cf98fb3aacec84cf931
C5	compression-derived-random256k-level6-v1-measured	measured	40	1	177b5f0afc87427dbb5f0afc87c27d72
C5	compression-derived-random256k-level6-v1-measured	measured	41	1	6ee16728db814b69a16728db813b69a7
C5	compression-derived-random256k-level6-v1-measured	measured	42	1	49f32928a5604eaeb32928a560ceae8b
C5	compression-derived-random256k-level6-v1-measured	measured	43	1	ee7f9c2cd7a644bdbf9c2cd7a684bd20
C5	compression-derived-random256k-level6-v1-measured	measured	44	1	01a184e6d54c4dcea184e6d54cddceaf
C5	compression-derived-random256k-level6-v1-measured	measured	45	1	cc30a9624f504a69b0a9624f50ba69b9
C5	compression-derived-random256k-level6-v1-measured	measured	46	1	669a0523570b4fe09a0523570bffe01e
C5	compression-derived-random256k-level6-v1-measured	measured	47	1	1b803c72926a4ee9803c72926a0ee95a
C5	compression-derived-random256k-level6-v1-measured	measured	48	1	43bec13f92eb40ecbec13f92eb10ec92
C5	compression-derived-random256k-level6-v1-measured	measured	49	1	88f09aa21ca34e93b09aa21ca3be93d1
C5	compression-derived-random256k-level6-v1-measured	measured	50	1	e487fac9dc8f45cd87fac9dc8f35cdd5
C5	compression-derived-random256k-level6-v1-measured	measured	51	1	323002d457d54762b002d457d547624b
C5	compression-derived-random256k-level6-v1-measured	measured	52	1	943d71f9d7034e52bd71f9d7031e52f4
C5	compression-derived-random256k-level6-v1-measured	measured	53	1	acf55e9e55fc4daeb55e9e55fc3dae88
C5	compression-derived-random256k-level6-v1-measured	measured	54	1	8a1f104d345e441d9f104d345ee41d64
C5	compression-derived-random256k-level6-v1-measured	measured	55	1	bfb2123a523143b7b2123a5231a3b7e6
C5	compression-derived-random256k-level6-v1-measured	measured	56	1	d09e59d21ee341ca9e59d21ee3e1ca41
C5	compression-derived-random256k-level6-v1-measured	measured	57	1	f67fd3f0cf324591bfd3f0cf325591ff
C5	compression-derived-random256k-level6-v1-measured	measured	58	1	8e725abffe134e99b25abffe131e9919
C5	compression-derived-random256k-level6-v1-measured	measured	59	1	7feb1b8c050349bcab1b8c0503f9bc3c
C5	compression-derived-random256k-level6-v1-measured	measured	60	1	a62cb6569f924588acb6569f9285888f
C5	compression-derived-random256k-level6-v1-measured	measured	61	1	9d69221f94e649b3a9221f94e619b34c
C5	compression-derived-random256k-level6-v1-measured	measured	62	1	312f524b88454246af524b8845f2469f
C5	compression-derived-random256k-level6-v1-measured	measured	63	1	73bc7c7f64be4490bc7c7f64bed49072
C5	compression-derived-random256k-level6-v1-measured	measured	64	1	4d0a24413f6841b38a24413f6891b3ed
C5	compression-derived-random256k-level6-v1-measured	measured	65	1	23634f43360c46cea34f43360cf6ce8e
C5	compression-derived-random256k-level6-v1-measured	measured	66	1	ddbbfe3593364e0abbfe3593369e0a07
C5	compression-derived-random256k-level6-v1-measured	measured	67	1	0efe4a36f5f54207be4a36f5f58207da
C5	compression-derived-random256k-level6-v1-measured	measured	68	1	5c74505979ed4ab6b4505979edeab6be
C5	compression-derived-random256k-level6-v1-measured	measured	69	1	5b86caee9e48490f86caee9e48f90f17
C5	compression-derived-random256k-level6-v1-measured	measured	70	1	565f361aa002442c9f361aa002b42cae
C5	compression-derived-random256k-level6-v1-measured	measured	71	1	0848c4c0a98e430488c4c0a98ec3041b
C5	compression-derived-random256k-level6-v1-measured	measured	72	1	8309e87cd864436789e87cd864036779
C5	compression-derived-random256k-level6-v1-measured	measured	73	1	b43188d00a3a464eb188d00a3a564e70
C5	compression-derived-random256k-level6-v1-measured	measured	74	1	89375dfa38584861b75dfa3858e86184
C5	compression-derived-random256k-level6-v1-measured	measured	75	1	45c2ec028b204c2982ec028b20ac2988
C5	compression-derived-random256k-level6-v1-measured	measured	76	1	b64eb3400b0548988eb3400b0588987e
C5	compression-derived-random256k-level6-v1-measured	measured	77	1	be0b9e42d4464cf38b9e42d4462cf31a
C5	compression-derived-random256k-level6-v1-measured	measured	78	1	78895144be414488895144be4134884c
C5	compression-derived-random256k-level6-v1-measured	measured	79	1	566d5f049d304580ad5f049d30c580ac
C5	compression-derived-random256k-level6-v1-measured	measured	80	1	83f363d0eb00473fb363d0eb00d73fde
C5	compression-derived-random256k-level6-v1-measured	measured	81	1	2daf94fd507a479faf94fd507a179fe3
C5	compression-derived-random256k-level6-v1-measured	measured	82	1	8645a77eeb00444585a77eeb00e44554
C5	compression-derived-random256k-level6-v1-measured	measured	83	1	11444431f6cb4862844431f6cb486238
C5	compression-derived-random256k-level6-v1-measured	measured	84	1	7a300f62a5b041c8b00f62a5b0c1c837
C5	compression-derived-random256k-level6-v1-measured	measured	85	1	422ac254998945d9aac254998905d996
C5	compression-derived-random256k-level6-v1-measured	measured	86	1	745cdebf3b5b42ee9cdebf3b5b92eeaf
C5	compression-derived-random256k-level6-v1-measured	measured	87	1	4a27926322ff46a7a7926322ff76a705
C5	compression-derived-random256k-level6-v1-measured	measured	88	1	96c9666332494b6889666332494b680b
C5	compression-derived-random256k-level6-v1-measured	measured	89	1	53f1fe98b95d4e79b1fe98b95d0e7977
C5	compression-derived-random256k-level6-v1-measured	measured	90	1	76ad0db510cd41d4ad0db510cd01d43c
C5	compression-derived-random256k-level6-v1-measured	measured	91	1	57035cc50d404180835cc50d40c18009
C5	compression-derived-random256k-level6-v1-measured	measured	92	1	c17bfd57ec4f4e9bbbfd57ec4f4e9b94
C5	compression-derived-random256k-level6-v1-measured	measured	93	1	3c8fd2631ac744578fd2631ac7c4571c
C5	compression-derived-random256k-level6-v1-measured	measured	94	1	216676d4b8ee43a9a676d4b8ee23a97a
C5	compression-derived-random256k-level6-v1-measured	measured	95	1	69bc194375ad4b1dbc194375ad9b1d9b
C5	compression-derived-random256k-level6-v1-measured	measured	96	1	815d7a92710441229d7a927104212250
C5	compression-derived-random256k-level6-v1-measured	measured	97	1	f1b1b683b99946cfb1b683b999c6cf96
C5	compression-derived-random256k-level6-v1-measured	measured	98	1	b0f4aeb5f9b948f8b4aeb5f9b9c8f8b6
C5	compression-derived-random256k-level6-v1-measured	measured	99	1	aac86b3966764df9886b396676fdf946
C5	compression-derived-random256k-level6-v1-measured	measured	100	1	a61a3d061877418e9a3d061877018e87
C5	compression-derived-random256k-level6-v1-measured	measured	101	1	9c36a9b0ff5a48b4b6a9b0ff5a88b44e
C5	compression-derived-random256k-level6-v1-measured	measured	102	1	c3cb254680954a5e8b25468095ca5ed9
C5	compression-derived-random256k-level6-v1-measured	measured	103	1	a4a3bc71f39d4a9ea3bc71f39d0a9e8d
C5	compression-derived-random256k-level6-v1-measured	measured	104	1	b1002cc364404b7f802cc364402b7f66
C5	compression-derived-random256k-level6-v1-measured	measured	105	1	92d373ef2f9248209373ef2f92082068
C5	compression-derived-random256k-level6-v1-measured	measured	106	1	2516c1a1fe2f40c496c1a1fe2fa0c4be
C5	compression-derived-random256k-level6-v1-measured	measured	107	1	5218b3620fd44cb698b3620fd41cb6ba
C5	compression-derived-random256k-level6-v1-measured	measured	108	1	ad3c328424f34b83bc328424f3eb83b5
C5	compression-derived-random256k-level6-v1-measured	measured	109	1	c30a079776de47618a079776ded761cd
C5	compression-derived-random256k-level6-v1-measured	measured	110	1	00129fece61c4928929fece61cb92825
C5	compression-derived-random256k-level6-v1-measured	measured	111	1	03aea93abba64149aea93abba6714998
C5	compression-derived-random256k-level6-v1-measured	measured	112	1	8771887d6a8b4abcb1887d6a8b9abca7
C5	compression-derived-random256k-level6-v1-measured	measured	113	1	b161e66488f74abda1e66488f7babd7b
C5	compression-derived-random256k-level6-v1-measured	measured	114	1	9a0d72b9e8dc4ccc8d72b9e8dc2ccc8a
C5	compression-derived-random256k-level6-v1-measured	measured	115	1	de8511ea982f41a58511ea982f31a5d3
C5	compression-derived-random256k-level6-v1-measured	measured	116	1	01c1cd1730934d3081cd173093fd308c
C5	compression-derived-random256k-level6-v1-measured	measured	117	1	6194cbe25a4b428c94cbe25a4bc28c20
C5	compression-derived-random256k-level6-v1-measured	measured	118	1	bb55703447094d179570344709fd17f8
C5	compression-derived-random256k-level6-v1-measured	measured	119	1	431f94d4184443789f94d41844d378b6
C5	compression-derived-random256k-level6-v1-measured	measured	120	1	32758f0cf0c84b5eb58f0cf0c89b5e78
C5	compression-derived-random256k-level6-v1-measured	measured	121	1	ebeb9307dc7841ebab9307dc78d1ebb6
C5	compression-derived-random256k-level6-v1-measured	measured	122	1	7fb1c7aa788a4e2bb1c7aa788a1e2bfb
C5	compression-derived-random256k-level6-v1-measured	measured	123	1	188e5445bc4046418e5445bc406641dc
C5	compression-derived-random256k-level6-v1-measured	measured	124	1	e3a127122c374479a127122c37a47971
C5	compression-derived-random256k-level6-v1-measured	measured	125	1	6de54a6612ca48d1a54a6612cab8d1f0
C5	compression-derived-random256k-level6-v1-measured	measured	126	1	49f984ad4be942ccb984ad4be9e2ccc6
C5	compression-derived-random256k-level6-v1-measured	measured	127	1	d35d93a9597140239d93a959712023a9
C5	compression-derived-random256k-level6-v1-measured	measured	128	1	bec0bbdf624543a280bbdf624533a2e0
C5	compression-derived-random256k-level6-v1-measured	measured	129	1	126bc22ca2dd4a58abc22ca2ddca58b7
C5	compression-derived-random256k-level6-v1-measured	measured	130	1	9d10776de07c48fd90776de07cf8fdc2
C5	compression-derived-random256k-level6-v1-measured	measured	131	1	2f7c7eef9bb34302bc7eef9bb39302d7
C5	compression-derived-random256k-level6-v1-measured	measured	132	1	72d3a67978444f9b93a67978443f9b82
C5	compression-derived-random256k-level6-v1-measured	measured	133	1	3e9f305940f3462c9f305940f3562cb8
C5	compression-derived-random256k-level6-v1-measured	measured	134	1	47300d50576949f7b00d505769a9f743
C5	compression-derived-random256k-level6-v1-measured	measured	135	1	4e78eb2af8434cddb8eb2af843fcdd90
C5	compression-derived-random256k-level6-v1-measured	measured	136	1	407287dd41b64b33b287dd41b60b3310
C5	compression-derived-random256k-level6-v1-measured	measured	137	1	87129e76ad9a4f42929e76ad9a8f42cd
C5	compression-derived-random256k-level6-v1-measured	measured	138	1	1fb0d148c1894bfcb0d148c1891bfcf6
C5	compression-derived-random256k-level6-v1-measured	measured	139	1	a399ae15c999498999ae15c9999989b6
C5	compression-derived-random256k-level6-v1-measured	measured	140	1	950ce79c57dd452d8ce79c57dd352df6
C5	compression-derived-random256k-level6-v1-measured	measured	141	1	1ca7506d56864c40a7506d5686cc400b
C5	compression-derived-random256k-level6-v1-measured	measured	142	1	971c8a4515dc41459c8a4515dc514593
C5	compression-derived-random256k-level6-v1-measured	measured	143	1	5fccc81a371747c28cc81a3717f7c2d6
C5	compression-derived-random256k-level6-v1-measured	measured	144	1	ff92316e44f3435b92316e44f3335b7a
C5	compression-derived-random256k-level6-v1-measured	measured	145	1	81d0091d26ba43f090091d26ba63f0cb
C5	compression-derived-random256k-level6-v1-measured	measured	146	1	d965898eeae64bb1a5898eeae6abb18e
C5	compression-derived-random256k-level6-v1-measured	measured	147	1	ab88f7c00ab942d088f7c00ab922d095
C5	compression-derived-random256k-level6-v1-measured	measured	148	1	eb1e9cb68c7842129e9cb68c78a21261
C5	compression-derived-random256k-level6-v1-measured	measured	149	1	6cd9f70aebb34a7499f70aebb36a7447
C5	compression-derived-random256k-level6-v1-measured	measured	150	1	202d294d7e4c4f0dad294d7e4c6f0d05
C5	compression-derived-random256k-level6-v1-measured	measured	151	1	6f7001b702924ce3b001b702921ce380
C5	compression-derived-random256k-level6-v1-measured	measured	152	1	d32bdecd3cc84327abdecd3cc88327bf
C5	compression-derived-random256k-level6-v1-measured	measured	153	1	7d04b95e2859483884b95e2859283810
C5	compression-derived-random256k-level6-v1-measured	measured	154	1	495149afaba0428d9149afaba0928d9c
C5	compression-derived-random256k-level6-v1-measured	measured	155	1	8737f7ca10fe4ff7b7f7ca10feeff721
C5	compression-derived-random256k-level6-v1-measured	measured	156	1	d4b9a5c0e82e4ccbb9a5c0e82ebccbdd
