schema_version	experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id	event_code	event_instance_index	primary_event	selection_status	unix_ns	mono_ns	clock_domain	node	process	pid	tid	status	boundary_name	delivery_path	transaction_id	source_path	source_line	source_sha256
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW300	2	false	duplicate_dispatch_preserved	1784920706033000000	2396272485483	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	806adf2f957009939b4195100d32b9e1	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	29	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW310	1	true	primary	1784920706037000000	2400401922786	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	131	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	10	1	f9e5435591cf473da5435591cf473d4e	OW800	1	true	primary	1784920706043000000	2400408256492	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	806adf2f957009939b4195100d32b9e1	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	138	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW120	1	true	primary	1784920724433000000	2414672848913	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_controller_invoke_enter		c41d8472d4e549982c877b052626c66c	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	199	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW150	1	true	primary	1784920724433000000	2414672878679	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_activation_id_created		c41d8472d4e549982c877b052626c66c	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	200	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW260	1	true	primary	1784920724437000000	2414677063376	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	c41d8472d4e549982c877b052626c66c	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	297	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW300	1	true	primary	1784920724437000000	2414677181429	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	c41d8472d4e549982c877b052626c66c	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	298	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW300	2	false	duplicate_dispatch_preserved	1784920724438000000	2414677212131	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	c41d8472d4e549982c877b052626c66c	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	299	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW310	1	true	primary	1784920724443000000	2418808044485	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1391	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	100	1	40c7c303f9c6404b87c303f9c6004b6a	OW800	1	true	primary	1784920724446000000	2418811222299	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	c41d8472d4e549982c877b052626c66c	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1398	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
