schema_version	profile	scope	artifact_size_bytes	contract_mode	configured_fresh_groups	configured_warm_followups_per_fresh	expected_request_count	observed_request_count	terminal_success_count	terminal_failure_or_missing_count	store_complete_count	rid_match_count	decrypt_complete_count	workload_match_count	fresh_observed_count	fresh_eligible_count	warm_observed_count	warm_eligible_count	unique_action_revision_count	unique_container_count	direct_phase_complete_fresh_count	fresh_first_result_mean_ms	fresh_first_result_p50_ms	fresh_first_result_p95_ms	warm_result_mean_ms	warm_result_p50_ms	warm_result_p95_ms	upload_mean_ms	quality_gate_status	quality_gate_reasons	quality_reason_counts	artifact_classification	acceptance_status	gateway_result_count	fresh_code_input_count	warm_input_only_count	explicit_unavailable_phase_policy
c2-reusable-summary-v1	reusable-concurrency	size	65536	formal	40	5	240	240	240	0	240	240	240	240	40	40	200	200	40	40	0	598.252335	287.942303	410.916794	107.714786	104.563614	138.665889	50.735376	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	40	200	action_fetch_and_target_code_decrypt_unavailable;kms_not_applicable
c2-reusable-summary-v1	reusable-concurrency	size	262144	formal	40	5	240	240	240	0	240	240	240	240	40	40	200	200	40	40	0	702.011934	514.058898	994.588049	105.715489	100.441843	146.999769	101.393379	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	40	200	action_fetch_and_target_code_decrypt_unavailable;kms_not_applicable
c2-reusable-summary-v1	reusable-concurrency	size	1048576	formal	40	5	240	240	240	0	240	240	240	240	40	40	200	200	40	40	0	939.282968	867.593367	1637.999803	110.615992	102.146679	146.037436	287.272583	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	40	200	action_fetch_and_target_code_decrypt_unavailable;kms_not_applicable
c2-reusable-summary-v1	reusable-concurrency	size	4194304	formal	40	5	240	240	240	0	240	240	240	240	40	40	200	200	40	40	0	2442.514528	2196.888899	2973.047791	106.187719	104.803871	133.453060	1025.981733	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	40	200	action_fetch_and_target_code_decrypt_unavailable;kms_not_applicable
c2-reusable-summary-v1	reusable-concurrency	collection		formal	40	5	960	960	960	0	960	960	960	960	160	160	800	800	160	160	0	1170.515441	717.200660	2513.422367	107.558496	102.754443	139.524546	366.345768	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	160	800	action_fetch_and_target_code_decrypt_unavailable;kms_not_applicable
