workload_id	submitted_count	terminal_success_count	output_verified_count	store_ack_count	warm_eligible_count	init_excluded_count	selected_warm_count	target_warm_samples	warm_target_status	same_worker_concurrent_excluded_count	same_worker_concurrent_excluded_fraction	full_flow_mean_ms	full_flow_ci95_low_ms	full_flow_ci95_high_ms	full_flow_p50_ms	full_flow_p95_ms	workload_mean_ms	workload_ci95_low_ms	workload_ci95_high_ms	workload_p50_ms	workload_p95_ms	queue_buildup_status	quality_gate_status	artifact_classification	acceptance_status
dynamic-html-derived-v1	300	300	300	300	299	1	65	100	below_target_advisory	234	0.78	74.1777126923077	69.23042395919084	79.12500142542454	72.800522	106.76792019999999	10.754948846153846	10.148476630820083	11.36142106148761	9.82061	17.073491599999997	no_sustained_buildup	pass	diagnostic_candidate	not_reviewed
compression-derived-random256k-level6-v1	300	300	300	300	300	0	121	100	met	179	0.5966666666666667	55.895504826446285	51.958910415979354	59.832099236913216	51.94853	103.448341	5.9635522892561985	5.802779828826294	6.124324749686103	5.64031	8.15299	no_sustained_buildup	pass	diagnostic_candidate	not_reviewed
