source_round	source_collection	profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	terminal_success	activation_get_status	store_evidence_status	expected_rid	actual_rid	rid_status	decrypt_status	workload_status	request_payload_bytes	request_payload_sha256	payload_evidence_status	container_hostname	target_binding_id	scheduler_operation	scheduler_warmed	gateway_code_status	gateway_input_status	gateway_result_count	fresh_placement_eligible	warm_reuse_eligible	analysis_eligible	quality_reason	measurement_sequence	activation_attempt_count	queue_endpoint_prediction_retry_count	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	activation_duration_ms	raw_wasm_bytes	raw_wasm_sha256	code_envelope_bytes	code_envelope_payload_length	upload_elapsed_ms	c_out_bytes	ct_bytes	gateway_code_queue_wait_ns	gateway_code_service_ns	action_fetch_duration_ns	action_fetch_status	runtime_init_duration_ns	runtime_init_status	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	outer_execution_duration_ns	target_code_decrypt_duration_cycles	target_code_decrypt_status	phase_evidence_status
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	16777216	2	warm_followup	4	s16777216-g002-warm4	edf7e46c009f4a53b7e46c009f9a5320	/guest/c2-reusable-16m-r374-g001-g004	0.0.2@1785077355282	e4721f9061604dcbb49d1660d6d3154b31a8be2a8a81a4cb53a1ca16e76d2fbf	true	200	present	572b0c2d515d8ccea1100f1ed8579e0221a7c3eabce34e6e9d32cdaf527e8697	572b0c2d515d8ccea1100f1ed8579e0221a7c3eabce34e6e9d32cdaf527e8697	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:133	133	INPUT	true	not_expected	present	0	false	true	true	ok	11	1	0	1785077368984757028	1785077369115449896	130.692868	90	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	3562.037268	573	65				unavailable_no_direct_event		unavailable_no_direct_event							51673561			52208313		not_expected_warm	partial_with_explicit_unavailable
374	374_c2-reusable-concurrency-16m-child-g001-g004	reusable-concurrency	16777216	2	warm_followup	5	s16777216-g002-warm5	57e6fd8cb18d4abaa6fd8cb18dfabaca	/guest/c2-reusable-16m-r374-g001-g004	0.0.2@1785077355282	e4721f9061604dcbb49d1660d6d3154b31a8be2a8a81a4cb53a1ca16e76d2fbf	true	200	present	e158edf9b0ef78b9b5bde8f5189187163a0782dc5616f4c78885b9317219532b	e158edf9b0ef78b9b5bde8f5189187163a0782dc5616f4c78885b9317219532b	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:133	133	INPUT	true	not_expected	present	0	false	true	true	ok	12	1	0	1785077369146367181	1785077369275118507	128.751326	86	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	3562.037268	573	65				unavailable_no_direct_event		unavailable_no_direct_event							51709488			52208417		not_expected_warm	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	fresh_first_use	0	s16777216-g003-fresh	0c793e03529f4c58b93e03529f1c58aa	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	c9ac6dba98c6ba1c6d0a4430c67aa9cfe9052b5aa5b23f9cdf33806155de2018	c9ac6dba98c6ba1c6d0a4430c67aa9cfe9052b5aa5b23f9cdf33806155de2018	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	CODE_INPUT	false	present	present	0	true	false	true	ok	1	2	1	1785085985318818549	1785086006977950145	21659.131596	1155	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65	11429	67965163		unavailable_no_direct_event		unavailable_no_direct_event							51898372			53085383	133004173	direct_event_complete	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	warm_followup	1	s16777216-g003-warm1	e279b55d23b64064b9b55d23b6c06421	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	8906e0176c9e5923780a3622b598387f30d0f0347991603afb171638305f21d1	8906e0176c9e5923780a3622b598387f30d0f0347991603afb171638305f21d1	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	INPUT	true	not_expected	present	0	false	true	true	ok	2	1	0	1785086007292797472	1785086007465930661	173.133189	85	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65				unavailable_no_direct_event		unavailable_no_direct_event							50453483			52537211		not_expected_warm	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	warm_followup	2	s16777216-g003-warm2	6aa93cb3ba95488ba93cb3ba95388b84	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	8aa2e8a3e6c5de7cb9f845cc4d452a13df9001017cfc179d36e27dd35ede3cd9	8aa2e8a3e6c5de7cb9f845cc4d452a13df9001017cfc179d36e27dd35ede3cd9	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	INPUT	true	not_expected	present	0	false	true	true	ok	3	1	0	1785086007499079721	1785086007631577296	132.497575	80	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65				unavailable_no_direct_event		unavailable_no_direct_event							51884269			52454832		not_expected_warm	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	warm_followup	3	s16777216-g003-warm3	6fd2befd0355436592befd0355c365b4	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	75a6872747f44f9432c1f7c27c8838d32726c13139ab54067f7047155c54b140	75a6872747f44f9432c1f7c27c8838d32726c13139ab54067f7047155c54b140	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	INPUT	true	not_expected	present	0	false	true	true	ok	4	1	0	1785086007945191465	1785086008095002633	149.811168	106	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65				unavailable_no_direct_event		unavailable_no_direct_event							51121836			51620620		not_expected_warm	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	warm_followup	4	s16777216-g003-warm4	3154b4d7c4ca4df494b4d7c4caedf451	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	fbdfa9ea581bfd8834706bbf5e22597d6933f6651b1b83aa84328e4fa9228eff	fbdfa9ea581bfd8834706bbf5e22597d6933f6651b1b83aa84328e4fa9228eff	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	INPUT	true	not_expected	present	0	false	true	true	ok	5	1	0	1785086008396402888	1785086008527718069	131.315181	81	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65				unavailable_no_direct_event		unavailable_no_direct_event							50555801			51208089		not_expected_warm	partial_with_explicit_unavailable
375	375_c2-reusable-concurrency-16m-child-g003-g003	reusable-concurrency	16777216	3	warm_followup	5	s16777216-g003-warm5	0aa5032c89c345cea5032c89c3b5ced3	/guest/c2-reusable-16m-r375-g003-g003	0.0.1@1785085981864	89058ed5bd6f4e9ca9f955d4e74092dda59e44f646f90fd86a5e7b23e4fa6c89	true	200	present	a45f9180b70894bc65f32f00759ff6f020c92de566fe5090ff4e38c6909a3bb8	a45f9180b70894bc65f32f00759ff6f020c92de566fe5090ff4e38c6909a3bb8	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:173	173	INPUT	true	not_expected	present	0	false	true	true	ok	6	1	0	1785086008565107677	1785086008680703214	115.595537	71	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5613.883511	573	65				unavailable_no_direct_event		unavailable_no_direct_event							51168585			52204532		not_expected_warm	partial_with_explicit_unavailable
376	376_c2-reusable-concurrency-16m-child-g004-g005	reusable-concurrency	16777216	4	fresh_first_use	0	s16777216-g004-fresh	039563f732b14a369563f732b1ca36d4	/guest/c2-reusable-16m-r376-g004-g005	0.0.1@1785090852973	88be02f393c3238c6627d957946b2208fb825cca5e8d6603e2bf26f4b04ea2e0	true	200	present	7df4c8f02f759ff96f39ea8f5720a5df16a7fb9a834f0b2e324e339adc7d317d	7df4c8f02f759ff96f39ea8f5720a5df16a7fb9a834f0b2e324e339adc7d317d	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:68	68	CODE_INPUT	false	present	present	0	true	false	true	ok	1	1	0	1785090856502255395	1785090866496509265	9994.25387	1096	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5006.663971	573	65	12917	77173823		unavailable_no_direct_event		unavailable_no_direct_event							50169036			50624046	137201551	direct_event_complete	partial_with_explicit_unavailable
376	376_c2-reusable-concurrency-16m-child-g004-g005	reusable-concurrency	16777216	4	warm_followup	1	s16777216-g004-warm1	9b63f4c2669d4ab7a3f4c2669d2ab7f8	/guest/c2-reusable-16m-r376-g004-g005	0.0.1@1785090852973	88be02f393c3238c6627d957946b2208fb825cca5e8d6603e2bf26f4b04ea2e0	true	200	present	e6f3618376bd7bcac4330ffc2b954e47226dd748c97064a77b1c4202d3a5dd33	e6f3618376bd7bcac4330ffc2b954e47226dd748c97064a77b1c4202d3a5dd33	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	prepared_and_gateway_input_present	target-binding:68	68	INPUT	true	not_expected	present	0	false	true	true	ok	2	1	0	1785090866577234594	1785090866795274906	218.040312	136	16777216	b1dc941544c55bbfd4f0474ce4233da7f19d101354f9a5c4eb9d2e871eb994c4	16777292	16777216	5006.663971	573	65				unavailable_no_direct_event		unavailable_no_direct_event							53818199			54719212		not_expected_warm	partial_with_explicit_unavailable
