profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
native	compression-derived-random256k-level6-v1	14	14	2d74d8635e34457bb4d8635e34b57bae	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		29	1024	4702	1784742214764584583	1784742214853087925	1784742214821000192	88.503342	56.415609	5.990175	6.015285	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	15	15	d2071cea646b434a871cea646b434a6c	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		33	1024	4702	1784742214797151610	1784742214863545840	1784742214857000192	66.39423	59.848582	5.679041	5.692593	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	16	16	9c3db280b3e040c4bdb280b3e080c4f2	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		38	1024	4702	1784742214838220178	1784742214909470142	1784742214903000064	71.249964	64.779886	6.634483	6.651572	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	17	17	1860a91a56f149faa0a91a56f1a9faf2	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		17	1024	4702	1784742214869953590	1784742214916201263	1784742214951000064	46.247673	81.046474	5.660925	5.687334	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	18	18	fbbcce72397b439fbcce72397b739f2d	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		22	1024	4702	1784742214893681633	1784742214933635458	1784742214959000064	39.953825	65.318431	5.975207	5.992339	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	19	19	20ecb9968aff4b9eacb9968aff2b9ef6	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		9	1024	4701	1784742214948471093	1784742214981866966	1784742214987000064	33.395873	38.528971	5.68385	5.69625	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	20	20	81046d34ecb8474d846d34ecb8b74d42	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		14	1024	4703	1784742214995644535	1784742215031254015	1784742215036999936	35.60948	41.355401	7.386704	7.401101	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	21	21	dced5e88d4084129ad5e88d408c12933	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		6	1024	4702	1784742215046165857	1784742215078498757	1784742215080000000	32.3329	33.834143	7.360963	7.379314	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	22	22	afb32a075cd94dfbb32a075cd9fdfbd8	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		7	1024	4701	1784742215090252513	1784742215114928350	1784742215116000000	24.675837	25.747487	5.619304	5.632586	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	23	23	6de38fdad5654431a38fdad565343105	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		5	1024	4701	1784742215124323486	1784742215144391274	1784742215157999872	20.067788	33.676386	5.644065	5.65696	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	24	24	11adbe858bce4c3badbe858bceec3b1f	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		8	1024	4701	1784742215172837983	1784742215202474203	1784742215204000000	29.63622	31.162017	5.628376	5.643267	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	25	25	385444e504524ef99444e504529ef953	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		14	1024	4702	1784742215190785769	1784742215227108868	1784742215224999936	36.323099	34.214167	6.105671	6.11998	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	26	26	88cf9df68ecc47118f9df68ecc771188	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		56	1024	4702	1784742215213494740	1784742215302977749	1784742215293999872	89.483009	80.505132	5.833029	5.847985	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	27	27	bf715b9eb5f24fedb15b9eb5f28fed75	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		21	1024	4702	1784742215260261775	1784742215315893023	1784742215321000192	55.631248	60.738417	5.528183	5.550682	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	28	28	3fc1392c55d8413681392c55d8c13668	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		22	1024	4702	1784742215339953253	1784742215393177407	1784742215384000000	53.224154	44.046747	7.226128	7.241065	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	29	29	f2f4f7c5cc9f4f1db4f7c5cc9f5f1d70	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		15	1024	4702	1784742215352313117	1784742215394586956	1784742215391000064	42.273839	38.686947	5.61075	5.636453	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	30	30	062b7d5611ff46a2ab7d5611ff66a281	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		11	1024	4702	1784742215374883574	1784742215412623684	1784742215411000064	37.74011	36.11649	5.626265	5.6389	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	31	31	e3f2adf228604584b2adf22860858420	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		21	1024	4702	1784742215419178435	1784742215465108061	1784742215472000000	45.929626	52.821565	5.670184	5.685911	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	32	32	97cadb29698147858adb2969817785b5	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		21	1024	4702	1784742215425214373	1784742215479292794	1784742215482000128	54.078421	56.785755	5.547916	5.573319	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	33	33	fc8654eba86d45ab8654eba86d85ab16	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		24	1024	4702	1784742215432894787	1784742215489061630	1784742215487000064	56.166843	54.105277	5.731476	5.744618	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	34	34	9ef310f335194b46b310f335199b462a	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		12	1024	4702	1784742215490643148	1784742215529208212	1784742215527000064	38.565064	36.356916	6.094934	6.109989	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	35	35	80536ea316824df7936ea31682edf796	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		20	1024	4703	1784742215510682575	1784742215573322524	1784742215568000000	62.639949	57.317425	6.08603	6.111954	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	36	36	f25fc7ff6e1640d69fc7ff6e1640d6c3	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		27	1024	4702	1784742215511681643	1784742215568900020	1784742215564000000	57.218377	52.318357	5.619329	5.63259	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	37	37	103fc306b0e34b98bfc306b0e30b985c	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		20	1024	4702	1784742215546984566	1784742215597915748	1784742215604999936	50.931182	58.01537	5.599143	5.615808	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
