schema_version	profile	scope	artifact_size_bytes	contract_mode	configured_fresh_groups	configured_warm_followups_per_fresh	expected_request_count	observed_request_count	terminal_success_count	terminal_failure_or_missing_count	store_complete_count	rid_match_count	decrypt_complete_count	workload_match_count	fresh_observed_count	fresh_eligible_count	warm_observed_count	warm_eligible_count	unique_action_revision_count	unique_container_count	direct_phase_complete_fresh_count	fresh_first_result_mean_ms	fresh_first_result_p50_ms	fresh_first_result_p95_ms	warm_result_mean_ms	warm_result_p50_ms	warm_result_p95_ms	upload_mean_ms	quality_gate_status	quality_gate_reasons	quality_reason_counts	artifact_classification	acceptance_status
c2-native-summary-v1	native	size	65536	formal	40	5	240	240	240	0	240			240	40	40	200	200	40	40	40	331.538673	306.903339	424.385869	69.665050	67.767586	81.426661	62.332497	pass	ok	ok:0	diagnostic_complete	not_reviewed
c2-native-summary-v1	native	size	262144	formal	40	5	240	240	240	0	240			240	40	40	200	200	40	40	40	386.783090	361.286563	563.964014	69.705622	67.458202	82.647857	73.845417	pass	ok	ok:0	diagnostic_complete	not_reviewed
c2-native-summary-v1	native	size	1048576	formal	40	5	240	240	240	0	240			240	40	40	200	200	40	40	40	425.961433	436.964757	533.425337	75.169903	68.523377	83.341091	179.443428	pass	ok	ok:0	diagnostic_complete	not_reviewed
c2-native-summary-v1	native	size	4194304	formal	40	5	240	240	240	0	240			240	40	40	200	200	40	40	40	651.392172	613.353039	843.102099	71.800752	67.627796	82.655954	522.765102	pass	ok	ok:0	diagnostic_complete	not_reviewed
c2-native-summary-v1	native	collection		formal	40	5	960	960	960	0	960			960	160	160	800	800	160	160	160	448.918842	413.772458	783.985208	71.585332	67.883591	82.976929	209.596611	pass	ok	ok:0	diagnostic_complete	not_reviewed
