schema_version	experiment_id	profile	artifact_size_bytes	fresh_group	lifecycle	logical_request_id	activation_id	event_code	clock_domain	timestamp_value	timestamp_unit
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm04	d3e11df569f74d54a11df569f76d54bf	NW400	node_monotonic_same_invocation	6399004950049	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm04	d3e11df569f74d54a11df569f76d54bf	NW410	node_monotonic_same_invocation	6399054188557	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm04	d3e11df569f74d54a11df569f76d54bf	N410	node_monotonic_same_invocation	6399054191926	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	C010	unix_ns	1784739051882009319	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	C800	unix_ns	1784739051974841442	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	C900	unix_ns	1784739052247132921	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	N400	node_monotonic_same_invocation	6399105729849	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	NW400	node_monotonic_same_invocation	6399105733441	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	NW410	node_monotonic_same_invocation	6399155922331	ns
c2-timing-event-v1	C2	native	65536	1	warm_followup	s65536-g001-warm05	0ed3a1bd356f437f93a1bd356fd37fb8	N410	node_monotonic_same_invocation	6399155925202	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	C010	unix_ns	1784739052247284187	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	C800	unix_ns	1784739052595374291	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	C900	unix_ns	1784739052604401382	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	N400	node_monotonic_same_invocation	6399725238468	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	NW400	node_monotonic_same_invocation	6399725270993	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	NW410	node_monotonic_same_invocation	6399775659975	ns
c2-timing-event-v1	C2	native	262144	1	fresh_first_use	s262144-g001-fresh	111a718f6f464ddc9a718f6f46addc4a	N410	node_monotonic_same_invocation	6399775672333	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	C010	unix_ns	1784739052604539704	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	C800	unix_ns	1784739052695603706	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	C900	unix_ns	1784739052709347783	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	N400	node_monotonic_same_invocation	6399830119344	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	NW400	node_monotonic_same_invocation	6399830129175	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	NW410	node_monotonic_same_invocation	6399880467610	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm01	1d47e1d1ee3d429787e1d1ee3d12977c	N410	node_monotonic_same_invocation	6399880484654	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	C010	unix_ns	1784739052709540334	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	C800	unix_ns	1784739052807109234	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	C900	unix_ns	1784739052816086186	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	N400	node_monotonic_same_invocation	6399939213317	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	NW400	node_monotonic_same_invocation	6399939222364	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	NW410	node_monotonic_same_invocation	6399989520436	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm02	282c7d183faa4f19ac7d183faabf19eb	N410	node_monotonic_same_invocation	6399989532097	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	C010	unix_ns	1784739052816217593	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	C800	unix_ns	1784739052900320446	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	C900	unix_ns	1784739052915424479	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	N400	node_monotonic_same_invocation	6400038690782	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	NW400	node_monotonic_same_invocation	6400038693995	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	NW410	node_monotonic_same_invocation	6400088889044	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm03	a4547ee202f54ad6947ee202f58ad6ee	N410	node_monotonic_same_invocation	6400088892830	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	C010	unix_ns	1784739052915580028	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	C800	unix_ns	1784739052993485926	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	C900	unix_ns	1784739053020730844	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	N400	node_monotonic_same_invocation	6400135743871	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	NW400	node_monotonic_same_invocation	6400135747615	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	NW410	node_monotonic_same_invocation	6400185975454	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm04	5ea88e0a25374cf6a88e0a25372cf614	N410	node_monotonic_same_invocation	6400185979424	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	C010	unix_ns	1784739053020930963	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	C800	unix_ns	1784739053098557025	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	C900	unix_ns	1784739053373652736	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	N400	node_monotonic_same_invocation	6400246099776	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	NW400	node_monotonic_same_invocation	6400246104720	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	NW410	node_monotonic_same_invocation	6400296323608	ns
c2-timing-event-v1	C2	native	262144	1	warm_followup	s262144-g001-warm05	5c0e0536797b4d048e0536797b7d04a0	N410	node_monotonic_same_invocation	6400296326863	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	C010	unix_ns	1784739053373811990	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	C800	unix_ns	1784739054060570150	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	C900	unix_ns	1784739054071461500	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	N400	node_monotonic_same_invocation	6401122310161	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	NW400	node_monotonic_same_invocation	6401122351472	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	NW410	node_monotonic_same_invocation	6401173151539	ns
c2-timing-event-v1	C2	native	1048576	1	fresh_first_use	s1048576-g001-fresh	cdd0b57de971405e90b57de971b05ee9	N410	node_monotonic_same_invocation	6401173164281	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	C010	unix_ns	1784739054071677099	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	C800	unix_ns	1784739054187786058	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	C900	unix_ns	1784739054457946204	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	N400	node_monotonic_same_invocation	6401320775329	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	NW400	node_monotonic_same_invocation	6401320785551	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	NW410	node_monotonic_same_invocation	6401372086280	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm01	29e666922ac2466da666922ac2266de5	N410	node_monotonic_same_invocation	6401372098763	ns
