schema_version	profile	scope	artifact_size_bytes	contract_mode	configured_fresh_groups	configured_warm_followups_per_fresh	expected_request_count	observed_request_count	terminal_success_count	terminal_failure_or_missing_count	store_complete_count	rid_match_count	decrypt_complete_count	workload_match_count	fresh_observed_count	fresh_eligible_count	warm_observed_count	warm_eligible_count	unique_action_revision_count	unique_container_count	direct_phase_complete_fresh_count	fresh_first_result_mean_ms	fresh_first_result_p50_ms	fresh_first_result_p95_ms	warm_result_mean_ms	warm_result_p50_ms	warm_result_p95_ms	upload_mean_ms	quality_gate_status	quality_gate_reasons	quality_reason_counts	artifact_classification	acceptance_status	gateway_result_count	fresh_code_input_count	warm_input_only_count	target_code_decrypt_direct_fresh_count	explicit_unavailable_phase_policy
c2-reusable-summary-v1	reusable-concurrency	size	16777216	supplemental-16m	2	5	12	12	12	0	12	12	12	12	2	2	10	10	2	2	0	12983.140602	12983.140602	17777.749852	159.750386	157.157954	197.303346	5809.554992	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	2	10	2	action_fetch_unavailable;target_code_decrypt_direct_cycles;kms_not_applicable
c2-reusable-summary-v1	reusable-concurrency	collection		supplemental-16m	2	5	12	12	12	0	12	12	12	12	2	2	10	10	2	2	0	12983.140602	12983.140602	17777.749852	159.750386	157.157954	197.303346	5809.554992	pass	ok	ok:0	diagnostic_complete	not_reviewed	0	2	10	2	action_fetch_unavailable;target_code_decrypt_direct_cycles;kms_not_applicable
