role	remote_path	verified_bytes	verified_sha256	predelete_match	deleted_at_utc	postdelete_absent	local_or_public_retention	df_free_kib_before	df_free_kib_after
prepared_requests	<protected-source>	560231856	b88ab609897e867aaa33bf7cfbc18c64b162d479a9ece70b23a0b2e1a1bcc16f	true	2026-07-24T20:12:19Z	true	protected_local_requests_and_payloads_preserved	11676612	13317532
activation_results	<protected-source>	1120056772	2f3f3369fecc4f39d715886b31ed323ea8afce60d1f8883bc6496fd5a8a94a2b	true	2026-07-24T20:12:19Z	true	public_filtered_events_and_joined_verification_preserved	11676612	13317532
